date,closed,open,high,low,volume
2022/6/23,3479.53,3426.04,3479.53,3418.91,40010000000
2022/6/24,3510.59,3484.37,3517.94,3482.52,39040000000
2022/6/27,3541.52,3525.56,3556.31,3525.56,41360000000
2022/6/28,3573.04,3539.93,3576.1,3520.17,41160000000
2022/6/29,3522.98,3563.04,3578.74,3519.79,44010000000
2022/6/30,3561.89,3520.29,3581.24,3520.29,38080000000
2022/7/1,3550.33,3563.62,3567.6,3540.67,35010000000
2022/7/4,3569.06,3544.24,3569.27,3525.65,35740000000
2022/7/5,3567.64,3575.06,3589.46,3534.08,41130000000
2022/7/6,3516.65,3554.02,3554.02,3493.32,38430000000
2022/7/7,3526.2,3514.32,3538.17,3492.45,33410000000
2022/7/8,3517.37,3542.95,3549.18,3515.32,32260000000
2022/7/11,3472.7,3501.65,3501.65,3455.33,34240000000
2022/7/12,3439.07,3466.01,3478.62,3434.4,33440000000
2022/7/13,3441.89,3437.21,3455.33,3423.41,33150000000
2022/7/14,3439.04,3434.73,3457.39,3417.87,35560000000
2022/7/15,3382.68,3417.66,3446.5,3382.68,37960000000
2022/7/18,3435.22,3390.09,3435.64,3380.73,34800000000
2022/7/19,3436.68,3435.88,3441.39,3412.11,31540000000
2022/7/20,3463.04,3449.42,3466.87,3445.39,30130000000
2022/7/21,3428.65,3455.66,3458.71,3428.65,33210000000
2022/7/22,3426.6,3433.05,3451.36,3402.23,30040000000
2022/7/25,3406.14,3426.35,3429.94,3398.46,27100000000
2022/7/26,3434.54,3410.11,3439.72,3401.55,25930000000
2022/7/27,3432.7,3428.61,3439.9,3422.28,24890000000
2022/7/28,3439.74,3445.01,3463.91,3434.01,28770000000
2022/7/29,3408.96,3439.95,3452.52,3401.73,30700000000
2022/8/1,3415.75,3401.99,3420.31,3379.89,29190000000
2022/8/2,3338.49,3385.65,3385.65,3305.86,39360000000
2022/8/3,3314.75,3341.24,3371.22,3310.32,32450000000
2022/8/4,3341.39,3331.26,3343.35,3306.48,26060000000
2022/8/5,3381.24,3347.93,3383.25,3336.65,27440000000
2022/8/8,3391.34,3372.68,3392.44,3367.66,25400000000
2022/8/9,3402.43,3390.08,3403.84,3381.48,25930000000
2022/8/10,3384.14,3397.16,3408.47,3371.32,25730000000
2022/8/11,3438.4,3398.26,3438.4,3392.52,30010000000
2022/8/12,3433.36,3432.17,3445.23,3429.09,29950000000
2022/8/15,3432.65,3424.44,3443.81,3417.58,28670000000
2022/8/16,3434.57,3435.45,3452.53,3427.95,30320000000
2022/8/17,3450.03,3438.98,3453.66,3419.32,32570000000
2022/8/18,3434.24,3443.55,3446.49,3427,30140000000
2022/8/19,3413.93,3432.25,3443.66,3413.89,33310000000
2022/8/22,3434.61,3405.17,3435.03,3402.48,31410000000
2022/8/23,3433.02,3431.09,3441.8,3418.75,31600000000
2022/8/24,3369.17,3436.11,3438.95,3366.23,36560000000
2022/8/25,3401.72,3377.83,3403.91,3352.32,33570000000
2022/8/26,3391.19,3406.33,3422.66,3387.06,30950000000
2022/8/29,3396,3356.47,3396,3352.17,29660000000
2022/8/30,3381.87,3395.42,3399.16,3366.58,29390000000
